,Pathway_1,Pathway_2,Pathway_3,Pathway_4,Pathway_5,Pathway_6,Pathway_7,Pathway_8,Pathway_9,Pathway_10,Pathway_11,Pathway_12,Pathway_13,Pathway_14,Pathway_15,Pathway_16,Pathway_17,Pathway_18,Pathway_19,Pathway_20,Pathway_21,Pathway_22,Pathway_23,Pathway_24,Pathway_25,Pathway_26,Pathway_27,Pathway_28,Pathway_29,Pathway_30,Pathway_31,Pathway_32,Pathway_33,Pathway_34,Pathway_35,Pathway_36,Pathway_37,Pathway_38,Pathway_39,Pathway_40,Pathway_41,Pathway_42,Pathway_43,Pathway_44,Pathway_45,Pathway_46,Pathway_47,Pathway_48,Pathway_49,Pathway_50,Pathway_51,Pathway_52,Pathway_53,Pathway_54,Pathway_55,Pathway_56,Pathway_57,Pathway_58,Pathway_59,Pathway_60,Pathway_61,Pathway_62,Pathway_63,Pathway_64,Pathway_65,Pathway_66,Pathway_67,Pathway_68,Pathway_69,Pathway_70,Pathway_71,Pathway_72,Pathway_73,Pathway_74,Pathway_75,Pathway_76,Pathway_77,Pathway_78,Pathway_79,Pathway_80,Pathway_81,Pathway_82,Pathway_83,Pathway_84,Pathway_85,Pathway_86,Pathway_87,Pathway_88,Pathway_89,Pathway_90,Pathway_91,Pathway_92,Pathway_93,Pathway_94,Pathway_95,Pathway_96,Pathway_97,Pathway_98,Pathway_99,Pathway_100,Pathway_101,Pathway_102,Pathway_103,Pathway_104,Pathway_105,Pathway_106,Pathway_107,Pathway_108,Pathway_109,Pathway_110,Pathway_111,Pathway_112,Pathway_113
ENSG00000142875,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amoebiasis,Amphetamine addiction,Apelin signaling pathway,Autophagy,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hedgehog signaling pathway,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human papillomavirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Insulin signaling pathway,Long-term potentiation,Longevity regulating pathway,MAPK signaling pathway,Melanogenesis,Morphine addiction,Olfactory transduction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Platelet activation,Prion disease,Progesterone-mediated oocyte maturation,Proteoglycans in cancer,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Taste transduction,Thermogenesis,Thyroid hormone signaling pathway,Thyroid hormone synthesis,Tight junction,Vascular smooth muscle contraction,Vasopressin-regulated water reabsorption,Vibrio cholerae infection,Viral carcinogenesis,Wnt signaling pathway,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000072062,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amoebiasis,Amphetamine addiction,Apelin signaling pathway,Autophagy,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hedgehog signaling pathway,Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Human papillomavirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Insulin signaling pathway,Long-term potentiation,Longevity regulating pathway,MAPK signaling pathway,Melanogenesis,Morphine addiction,Olfactory transduction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Platelet activation,Prion disease,Progesterone-mediated oocyte maturation,Proteoglycans in cancer,Ras signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Serotonergic synapse,Taste transduction,Thermogenesis,Thyroid hormone signaling pathway,Thyroid hormone synthesis,Tight junction,Vascular smooth muscle contraction,Vasopressin-regulated water reabsorption,Vibrio cholerae infection,Viral carcinogenesis,Wnt signaling pathway,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000127955,Adrenergic signaling in cardiomyocytes,Alcoholism,Apelin signaling pathway,Axon guidance,Chagas disease,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cocaine addiction,Cushing syndrome,Dopaminergic synapse,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Leukocyte transendothelial migration,Long-term depression,Melanogenesis,Morphine addiction,Oxytocin signaling pathway,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Pertussis,Platelet activation,Progesterone-mediated oocyte maturation,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Sphingolipid signaling pathway,Toxoplasmosis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000105409,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Gastric acid secretion,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000102001,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Alzheimer disease,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Chemical carcinogenesis,Cholinergic synapse,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,GABAergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hypertrophic cardiomyopathy,Insulin secretion,MAPK signaling pathway,Oxytocin signaling pathway,Pathways of neurodegeneration,Prion disease,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000157087,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Calcium signaling pathway,Endocrine and other factor-regulated calcium reabsorption,Mineral absorption,Pancreatic secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000018625,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Aldosterone-regulated sodium reabsorption,Bile secretion,Carbohydrate digestion and absorption,Cardiac muscle contraction,Endocrine and other factor-regulated calcium reabsorption,Gastric acid secretion,Insulin secretion,Mineral absorption,Pancreatic secretion,Protein digestion and absorption,Proximal tubule bicarbonate reclamation,Salivary secretion,Thyroid hormone signaling pathway,Thyroid hormone synthesis,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000141506,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Chemokine signaling pathway,Cholinergic synapse,Kaposi sarcoma-associated herpesvirus infection,Oxytocin signaling pathway,PI3K-Akt signaling pathway,Phospholipase D signaling pathway,Platelet activation,Toxoplasmosis,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000078295,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Melanogenesis,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000197616,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,Thyroid hormone signaling pathway,Viral myocarditis,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000143549,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,Pathways in cancer,Thyroid cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000142408,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000105605,Adrenergic signaling in cardiomyocytes,Arrhythmogenic right ventricular cardiomyopathy,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MAPK signaling pathway,Oxytocin signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000159251,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000111245,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Focal adhesion,Hypertrophic cardiomyopathy,Leukocyte transendothelial migration,Regulation of actin cytoskeleton,Salmonella infection,Shigellosis,Tight junction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000043591,Adrenergic signaling in cardiomyocytes,Calcium signaling pathway,Chemical carcinogenesis,Dilated cardiomyopathy,Gap junction,Neuroactive ligand-receptor interaction,Regulation of lipolysis in adipocytes,Renin secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000118194,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000157388,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Carbohydrate digestion and absorption,Cardiac muscle contraction,Cellular senescence,Chemical carcinogenesis,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,GABAergic synapse,Glutamatergic synapse,GnRH secretion,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Hypertrophic cardiomyopathy,Insulin secretion,MAPK signaling pathway,Oxytocin signaling pathway,Pathways of neurodegeneration,Prion disease,Renin secretion,Retrograde endocannabinoid signaling,Serotonergic synapse,Tight junction,Type II diabetes mellitus,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000087460,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Amoebiasis,Amphetamine addiction,Bile secretion,Calcium signaling pathway,Chagas disease,Chemical carcinogenesis,Circadian entrainment,Cocaine addiction,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Dopaminergic synapse,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,Gap junction,Gastric acid secretion,Glucagon signaling pathway,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human cytomegalovirus infection,Human papillomavirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Long-term depression,Melanogenesis,Morphine addiction,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Parkinson disease,Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Salivary secretion,Serotonergic synapse,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,Vasopressin-regulated water reabsorption,Vibrio cholerae infection,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000198467,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000092054,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,Thyroid hormone signaling pathway,Viral myocarditis,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000164742,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Amoebiasis,Apelin signaling pathway,Bile secretion,Calcium signaling pathway,Chagas disease,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Long-term potentiation,Longevity regulating pathway,Melanogenesis,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Retrograde endocannabinoid signaling,Salivary secretion,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000091428,Adrenergic signaling in cardiomyocytes,Insulin secretion,Leukocyte transendothelial migration,Phospholipase D signaling pathway,Rap1 signaling pathway,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000067842,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Calcium signaling pathway,Endocrine and other factor-regulated calcium reabsorption,Mineral absorption,Pancreatic secretion,Salivary secretion,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000100678,Adrenergic signaling in cardiomyocytes,Apelin signaling pathway,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Dilated cardiomyopathy,Endocrine and other factor-regulated calcium reabsorption,Hypertrophic cardiomyopathy,Mineral absorption,Olfactory transduction,Protein digestion and absorption,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000143933,Adrenergic signaling in cardiomyocytes,Alcoholism,Aldosterone synthesis and secretion,Alzheimer disease,Amphetamine addiction,Apelin signaling pathway,C-type lectin receptor signaling pathway,Calcium signaling pathway,Cellular senescence,Circadian entrainment,Dopaminergic synapse,Estrogen signaling pathway,Fluid shear stress and atherosclerosis,Gastric acid secretion,Glioma,Glucagon signaling pathway,GnRH signaling pathway,Human cytomegalovirus infection,Human immunodeficiency virus 1 infection,Inflammatory mediator regulation of TRP channels,Insulin signaling pathway,Kaposi sarcoma-associated herpesvirus infection,Lipid and atherosclerosis,Long-term potentiation,Melanogenesis,Neurotrophin signaling pathway,Olfactory transduction,Oocyte meiosis,Oxytocin signaling pathway,Parkinson disease,Pathways in cancer,Pathways of neurodegeneration,Pertussis,Phosphatidylinositol signaling system,Phototransduction,Rap1 signaling pathway,Ras signaling pathway,Renin secretion,Salivary secretion,Tuberculosis,Vascular smooth muscle contraction,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000140416,Adrenergic signaling in cardiomyocytes,Cardiac muscle contraction,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,MicroRNAs in cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000174437,Adrenergic signaling in cardiomyocytes,Alzheimer disease,Arrhythmogenic right ventricular cardiomyopathy,Calcium signaling pathway,Cardiac muscle contraction,Diabetic cardiomyopathy,Dilated cardiomyopathy,Hypertrophic cardiomyopathy,Pancreatic secretion,Pathways of neurodegeneration,Spinocerebellar ataxia,Thyroid hormone signaling pathway,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000174233,Adrenergic signaling in cardiomyocytes,Aldosterone synthesis and secretion,Apelin signaling pathway,Bile secretion,Chemical carcinogenesis,Chemokine signaling pathway,Cholinergic synapse,Circadian entrainment,Cortisol synthesis and secretion,Cushing syndrome,Dilated cardiomyopathy,Endocrine and other factor-regulated calcium reabsorption,Estrogen signaling pathway,GABAergic synapse,Gap junction,Gastric acid secretion,Glutamatergic synapse,GnRH signaling pathway,"Growth hormone synthesis, secretion and action",Human T-cell leukemia virus 1 infection,Human cytomegalovirus infection,Inflammatory mediator regulation of TRP channels,Insulin secretion,Longevity regulating pathway,Melanogenesis,Morphine addiction,Oocyte meiosis,Ovarian steroidogenesis,Oxytocin signaling pathway,Pancreatic secretion,"Parathyroid hormone synthesis, secretion and action",Pathways in cancer,Phospholipase D signaling pathway,Platelet activation,Progesterone-mediated oocyte maturation,Purine metabolism,Rap1 signaling pathway,Regulation of lipolysis in adipocytes,Relaxin signaling pathway,Renin secretion,Retrograde endocannabinoid signaling,Salivary secretion,Taste transduction,Thermogenesis,Thyroid hormone synthesis,Vascular smooth muscle contraction,Vasopressin-regulated water reabsorption,cAMP signaling pathway,cGMP-PKG signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000113302,African trypanosomiasis,Allograft rejection,Amoebiasis,C-type lectin receptor signaling pathway,Chagas disease,Coronavirus disease,Cytokine-cytokine receptor interaction,Herpes simplex virus 1 infection,Inflammatory bowel disease,Influenza A,JAK-STAT signaling pathway,Legionellosis,Leishmaniasis,Lipid and atherosclerosis,Measles,Pathways in cancer,Pertussis,Proteoglycans in cancer,RIG-I-like receptor signaling pathway,Th1 and Th2 cell differentiation,Toll-like receptor signaling pathway,Toxoplasmosis,Tuberculosis,Type I diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000150782,African trypanosomiasis,Cytokine-cytokine receptor interaction,Cytosolic DNA-sensing pathway,Inflammatory bowel disease,Influenza A,Legionellosis,Lipid and atherosclerosis,Malaria,NOD-like receptor signaling pathway,Pathogenic Escherichia coli infection,Rheumatoid arthritis,Salmonella infection,Shigellosis,Tuberculosis,Viral protein interaction with cytokine and cytokine receptor,Yersinia infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000111537,African trypanosomiasis,Allograft rejection,Amoebiasis,Antigen processing and presentation,Chagas disease,Cytokine-cytokine receptor interaction,Fluid shear stress and atherosclerosis,Graft-versus-host disease,HIF-1 signaling pathway,Hepatitis C,Herpes simplex virus 1 infection,IL-17 signaling pathway,Inflammatory bowel disease,Influenza A,JAK-STAT signaling pathway,Leishmaniasis,Malaria,Natural killer cell mediated cytotoxicity,Necroptosis,Osteoclast differentiation,PD-L1 expression and PD-1 checkpoint pathway in cancer,Pathways in cancer,Proteasome,Rheumatoid arthritis,Systemic lupus erythematosus,T cell receptor signaling pathway,TGF-beta signaling pathway,Th1 and Th2 cell differentiation,Th17 cell differentiation,Toxoplasmosis,Tuberculosis,Type I diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
